Mortes de presos aumetaram 155% em 7 anos no Rio	http://cbn.globoradio.globo.com/rio-de-janeiro/2017/01/13/NUMERO-DE-MORTES-DE-DETENTOS-NOS-PRESIDIOS-DO-RIO-CRESCEU-155-EM-SETE-ANOS.htm
Índice de preços da FAO fecha 2016 em queda de 1,5%	http://revistagloborural.globo.com/Noticias/Agricultura/noticia/2017/01/indice-de-precos-da-fao-fecha-2016-em-queda-de-15.html
Proteger rios custa US$ 2 por pessoa, diz organização ambiental	http://revistagloborural.globo.com/Noticias/Sustentabilidade/noticia/2017/01/proteger-rios-custa-us-2-por-pessoa-diz-organizacao-ambiental.html
Valor da produção agropecuária deve atingir recorde de R$ 544,9 bi	http://revistagloborural.globo.com/Noticias/Agricultura/Soja/noticia/2017/01/valor-da-producao-agropecuaria-deve-atingir-recorde-de-r-5449-bi.html
USDA eleva estimativa para safra de soja do Brasil	http://revistagloborural.globo.com/Noticias/Agricultura/Soja/noticia/2017/01/usda-eleva-estimativa-para-safra-de-soja-do-brasil.html
Atual chefe do USDA critica Trump por demora na sucessão	http://revistagloborural.globo.com/Noticias/Politica/noticia/2017/01/atual-chefe-do-usda-critica-trump-por-demora-na-sucessao.html
Perdas por clima em Goiás são pontuais, diz Aprosoja	http://revistagloborural.globo.com/Noticias/Agricultura/Soja/noticia/2017/01/perdas-por-clima-em-goias-sao-pontuais-diz-aprosoja.html
Executivos da Bayer e Monsanto falam com Trump sobe fusão	http://revistagloborural.globo.com/Noticias/Economia-e-Negocios/noticia/2017/01/executivos-da-bayer-e-monsanto-falam-com-trump-sobe-fusao2.html
Conab realiza leilão de frete para remoção de milho	http://revistagloborural.globo.com/Noticias/Agricultura/Milho/noticia/2017/01/conab-realiza-leilao-de-frete-para-remocao-de-milho.html
Sete dicas para preparar salada no pote	http://revistagloborural.globo.com/Videos/noticia/2017/01/sete-dicas-para-preparar-salada-no-pote.html
Santander libera crédito rural para compra de fertilizantes	http://revistagloborural.globo.com/Noticias/Agricultura/noticia/2017/01/globo-rural-santander-libera-credito-rural-para-compra-de-fertilizantes.html
CAR reúne 399 milhões de hectares e 3,9 mi de propriedades	http://revistagloborural.globo.com/Noticias/Sustentabilidade/noticia/2017/01/globo-rural-car-reune-399-milhoes-de-hectares-e-39-mi-de-propriedades.html
Pato selvagem é primeiro caso de influenza aviária nos EUA em 2017	http://revistagloborural.globo.com/Noticias/Criacao/Aves/noticia/2017/01/pato-selvagem-e-primeiro-caso-de-influenza-aviaria-nos-eua-em-2017.html
Colheita da soja começa em MT e já atingiu 140 mil hectares	http://revistagloborural.globo.com/Noticias/Agricultura/Soja/noticia/2017/01/colheita-da-soja-comeca-em-mt-e-ja-atingiu-140-mil-hectares.html
Brasil pode voltar a exportar carne suína in natura para África do Sul	http://revistagloborural.globo.com/Noticias/Criacao/Suinos/noticia/2017/01/brasil-pode-voltar-exportar-carne-suina-natura-para-africa-do-sul.html
Moagem de cana no Centro-Sul cai 70,98% na 2ª quinzena de dezembro	http://revistagloborural.globo.com/Noticias/Agricultura/Cana/noticia/2017/01/moagem-de-cana-no-centro-sul-cai-7098-na-2-quinzena-de-dezembro.html
